id;name;lat;lng;slug;sku;url;icon;
ff330f9a-af88-46bb-896e-6d4d18bc4d56;Martín de Zamora  4681- San Pascual;-33.418.642;-70.577.215;martin-de-zamora-4681-san-pascual;;https://maps.oohpublicidad.cl/espacios-publicitarios/martin-de-zamora-4681-san-pascual/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
5d574da5-bf03-472a-956f-867e71c69a69;Padre Hurtado 51 - Las Condes;-33.393.725;-70.545.505;padre-hurtado-51-las-condes;;https://maps.oohpublicidad.cl/espacios-publicitarios/padre-hurtado-51-las-condes/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
8d6b0602-e6c6-471d-acbd-b1dcf4bd4537;Padre Hurtado 572 - El Torrente;-33.412.207;-70.541.444;padre-hurtado-572-el-torrente;;https://maps.oohpublicidad.cl/espacios-publicitarios/padre-hurtado-572-el-torrente/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
02445d55-b962-49e6-b5e4-c94c3e8045a4;Patagonia  3 - Apoquindo;-33.408.033;-70.541.444;patagonia-3-apoquindo;;https://maps.oohpublicidad.cl/espacios-publicitarios/patagonia-3-apoquindo/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
66b538d6-c3f5-496d-bed4-62cddd7203e2;Patricia 9111 - Totoralillo;-33.420.723;-70.535.541;patricia-9111-totoralillo;;https://maps.oohpublicidad.cl/espacios-publicitarios/patricia-9111-totoralillo/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
78624611-ecc8-4ad0-a1d9-6c4ffc8609b9;Lote barreras Salida estacionamiento - Salida Nivel 1 - Mall Parque Arauco;-334.021.934;-7.057.824.939.999.990;lote-barreras-salida-estacionamiento-salida-nivel-1-mall-parque-arauco;;https://maps.oohpublicidad.cl/espacios-publicitarios/lote-barreras-salida-estacionamiento-salida-nivel-1-mall-parque-arauco/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-mall.png;
7af39242-ff04-4c50-b2f5-23842a9f14da;Paul Harris 9330 - Charles Hamilton;-33.392.429;-7.053.836;paul-harris-930-charles-hamilton;;https://maps.oohpublicidad.cl/espacios-publicitarios/paul-harris-930-charles-hamilton/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
3ead4e0f-ba51-4c8d-96f5-d3aacad50f17;Paul Harris 190 - Radesky;-33.406.897;-70.537.571;paul-harris-190-radesky;;https://maps.oohpublicidad.cl/espacios-publicitarios/paul-harris-190-radesky/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
dd14ec08-0b97-425b-8267-5cbdcc29dcf3;Presidente Errázuriz 3939 - Alcántara;-33.420.032;-7.058.819.821.410.630;presidente-errazuriz-3939-alcantara;;https://maps.oohpublicidad.cl/espacios-publicitarios/presidente-errazuriz-3939-alcantara/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
560c45ea-8d15-4cb8-b9ab-8b1d0e6bdbb7;Presidente Errázuriz 4361 - Americo Vespucio;-33.418.805;-70.582.895;presidente-errazuriz-4361-americo-vespucio;;https://maps.oohpublicidad.cl/espacios-publicitarios/presidente-errazuriz-4361-americo-vespucio/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
3bbdbe8d-4274-41c2-bb1a-0fb3f57509be;Presidente Riesco 5885 - Rosario Norte;-33.403.889;-70.573.416;presidente-riesco-5885-rosario-norte;;https://maps.oohpublicidad.cl/espacios-publicitarios/presidente-riesco-5885-rosario-norte/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
24a54822-800d-4fd5-baa5-3cb3d4b8e8d1;San Crescente 190 - Callao;-33.418.579;-70.594.977;san-crescente-190-callao;;https://maps.oohpublicidad.cl/espacios-publicitarios/san-crescente-190-callao/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
2d3110ef-5a69-43f2-a0a9-5ebcc35ec254;Sebastián Elcano 1177 - Colón;-33.418.782;-7.057.144.563.406.430;sebastian-elcano-1117-colon;;https://maps.oohpublicidad.cl/espacios-publicitarios/sebastian-elcano-1117-colon/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
ebc51418-19d5-4b86-a728-58d87ccbf07a;Sebastián Elcano 1813 - Manuel Barros;-33.428.459;-70.570.511;sebastian-elcano-1813-manuel-barros;;https://maps.oohpublicidad.cl/espacios-publicitarios/sebastian-elcano-1813-manuel-barros/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
51100eb5-aafd-4b86-9a60-9a50faca458a;Toconao 1179 - Zaragoza;-33.419.536;-70.545.163;toconao-1179-zaragoza;;https://maps.oohpublicidad.cl/espacios-publicitarios/toconao-1179-zaragoza/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png;
48017cfb-c76d-4a18-ad09-1a7c34ea7974;Vallas - Av. El Salto / Av. Americo Vespucio Norte, Huechuraba. (1);-333.937;-706.252;av-el-salto-la-piramide;;https://maps.oohpublicidad.cl/espacios-publicitarios/av-el-salto-la-piramide/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-billboard.png;
5871cb70-721d-4214-9236-76ef07afc6dd;Puertas Unidireccionales - L4 Estacion Principe de Gales;-3.343.894;-7.057.302;e-puertas-unidireccionales-l4-estacion-principe-de-gales;;https://maps.oohpublicidad.cl/espacios-publicitarios/e-puertas-unidireccionales-l4-estacion-principe-de-gales/modal;https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-subway.png;
